load,hour,Pload
b5,24,41.59889999999999
b6,1,84.7416
b6,2,79.6824
b6,3,75.88799999999999
b6,4,74.6232
b6,5,74.6232
b6,6,75.88799999999999
b6,7,93.5952
b6,8,108.7728
b6,9,115.3840701754386
b6,10,121.4208
b6,11,121.4208
b6,12,120.156
b6,13,120.156
b6,14,120.156
b6,15,117.6264
b6,16,117.6264
b6,17,125.21519999999998
b6,18,126.48
b6,19,126.48
b6,20,121.4208
b6,21,115.0968
b6,22,104.9784
b6,23,92.3304
b6,24,79.6824
b7,1,77.88749999999999
b7,2,73.2375
b7,3,69.74999999999999
b7,4,68.58749999999999
b7,5,68.58749999999999
b7,6,69.74999999999999
b7,7,86.02499999999998
b7,8,99.97499999999998
b7,9,106.05153508771927
b7,10,111.59999999999998
b7,11,111.59999999999998
b7,12,110.4375
b7,13,110.4375
b7,14,110.4375
b7,15,108.1125
b7,16,108.1125
b7,17,115.08749999999998
b7,18,116.25
b7,19,116.25
b7,20,111.59999999999998
b7,21,105.78749999999998
b7,22,96.48749999999998
b7,23,84.86249999999998
b7,24,73.2375
b8,1,106.5501
b8,2,100.1889
b8,3,95.418
b8,4,93.8277
b8,5,93.8277
b8,6,95.418
b8,7,117.6822
b8,8,136.76579999999998
b8,9,145.0785
b8,10,152.6688
b8,11,152.6688
b8,12,151.0785
b8,13,151.0785
b8,14,151.0785
b8,15,147.89790000000002
b8,16,147.89790000000002
b8,17,157.4397
b8,18,159.03
b8,19,159.03
b8,20,152.6688
b8,21,144.7173
b8,22,131.9949
b8,23,116.0919
b8,24,100.1889
b9,1,109.0425
b9,2,102.5325
b9,3,97.64999999999998
b9,4,96.0225
b9,5,96.0225
b9,6,97.64999999999998
b9,7,120.435
b9,8,139.96499999999995
b9,9,148.472149122807
b9,10,156.23999999999998
b9,11,156.23999999999998
b9,12,154.61249999999998
b9,13,154.61249999999998
b9,14,154.61249999999998
b9,15,151.3575
b9,16,151.3575
b9,17,161.12249999999997
b9,18,162.74999999999997
b9,19,162.74999999999997
b9,20,156.23999999999998
b9,21,148.1025
b9,22,135.08249999999998
b9,23,118.8075
b9,24,102.5325
b10,1,121.50450000000002
b10,2,114.25050000000002
b10,3,108.81000000000002
b10,4,106.9965
b10,5,106.9965
b10,6,108.81000000000002
b10,7,134.199
b10,8,155.961
b10,9,165.44039473684214
b10,10,174.09600000000003
b10,11,174.09600000000003
b10,12,172.2825
b10,13,172.2825
b10,14,172.2825
b10,15,168.65550000000002
b10,16,168.65550000000002
b10,17,179.53650000000002
b10,18,181.35
b10,19,181.35
b10,20,174.09600000000003
b10,21,165.0285
b10,22,150.5205
b10,23,132.3855
b10,24,114.25050000000002
b13,1,165.12149999999997
b13,2,155.2635
b13,3,147.86999999999998
b13,4,145.4055
b13,5,145.4055
b13,6,147.86999999999998
b13,7,182.373
b13,8,211.947
b13,9,224.82925438596487
b13,10,236.592
b13,11,236.592
b13,12,234.1275
b13,13,234.1275
b13,14,234.1275
b13,15,229.1985
b13,16,229.1985
b13,17,243.9855
b13,18,246.45
b13,19,246.45
b13,20,236.592
b13,21,224.2695
b13,22,204.5535
b13,23,179.90849999999998
b13,24,155.2635
b14,1,120.8814
b14,2,113.6646
b14,3,108.252
b14,4,106.4478
b14,5,106.4478
b14,6,108.252
b14,7,133.5108
b14,8,155.16119999999998
b14,9,164.59198245614036
b14,10,173.2032
b14,11,173.2032
b14,12,171.39899999999997
b14,13,171.39899999999997
b14,14,171.39899999999997
b14,15,167.7906
b14,16,167.7906
b14,17,178.61579999999998
b14,18,180.42
b14,19,180.42
b14,20,173.2032
b14,21,164.18219999999997
b14,22,149.74859999999998
b14,23,131.7066
b14,24,113.6646
b15,1,197.5227
b15,2,185.7303
b15,3,176.886
b15,4,173.9379
b15,5,173.9379
b15,6,176.886
b15,7,218.1594
b15,8,253.5366
b15,9,268.9466929824561
b15,10,283.0176
b15,11,283.0176
b15,12,280.06949999999995
b15,13,280.06949999999995
b15,14,280.06949999999995
b15,15,274.17330000000004
b15,16,274.17330000000004
b15,17,291.8619
b15,18,294.81
b15,19,294.81
b15,20,283.0176
b15,21,268.2771
b15,22,244.6923
b15,23,215.2113
b15,24,185.7303
b16,1,62.31
b16,2,58.59
b16,3,55.79999999999999
b16,4,54.87
b16,5,54.87
b16,6,55.79999999999999
b16,7,68.82
b16,8,79.97999999999999
b16,9,84.84122807017543
b16,10,89.28
b16,11,89.28
b16,12,88.35
b16,13,88.35
b16,14,88.35
b16,15,86.49
b16,16,86.49
b16,17,92.07
b16,18,93.0
b16,19,93.0
b16,20,89.28
b16,21,84.63
b16,22,77.19
b16,23,67.89
b16,24,58.59
b18,1,207.4923
b18,2,195.1047
b18,3,185.814
b18,4,182.7171
b18,5,182.7171
b18,6,185.814
b18,7,229.1706
b18,8,266.3334
b18,9,282.5212894736842
b18,10,297.30240000000003
b18,11,297.30240000000003
b18,12,294.2055
b18,13,294.2055
b18,14,294.2055
b18,15,288.0117
b18,16,288.0117
b18,17,306.5931
b18,18,309.69
b18,19,309.69
b18,20,297.30240000000003
b18,21,281.81789999999995
b18,22,257.0427
b18,23,226.0737
b18,24,195.1047
b19,1,112.78109999999998
b19,2,106.04789999999998
b19,3,100.998
b19,4,99.3147
b19,5,99.3147
b19,6,100.998
b19,7,124.5642
b19,8,144.76379999999995
b19,9,153.56262280701753
b19,10,161.59679999999997
b19,11,161.59679999999997
b19,12,159.9135
b19,13,159.9135
b19,14,159.9135
b19,15,156.5469
b19,16,156.5469
b19,17,166.64669999999998
b19,18,168.33
b19,19,168.33
b19,20,161.59679999999997
b19,21,153.18029999999996
b19,22,139.71389999999997
b19,23,122.88089999999998
b19,24,106.04789999999998
b20,1,79.7568
b20,2,74.9952
b20,3,71.42399999999999
b20,4,70.2336
b20,5,70.2336
b20,6,71.42399999999999
b20,7,88.08959999999999
b20,8,102.37439999999998
b20,9,108.59677192982456
b20,10,114.2784
b20,11,114.2784
b20,12,113.088
b20,13,113.088
b20,14,113.088
b20,15,110.7072
b20,16,110.7072
b20,17,0.0
b20,18,0.0
b20,19,43.746799999999894
b20,20,0.0
b20,21,92.86540000000059
b20,22,98.8032
b20,23,86.89920000000001
b20,24,74.9952
b21,1,0.0
b21,2,0.0
b21,3,0.0
b21,4,0.0
b21,5,0.0
b21,6,0.0
b21,7,0.0
b21,8,0.0
b21,9,0.0
b21,10,0.0
b21,11,0.0
b21,12,0.0
b21,13,0.0
b21,14,0.0
b21,15,0.0
b21,16,0.0
b21,17,0.0
b21,18,0.0
b21,19,0.0
b21,20,0.0
b21,21,0.0
b21,22,0.0
b21,23,0.0
b21,24,0.0
