load,hour,profit
b9,20,6215.227199999999
b9,21,5891.51745
b9,22,5701.832324999999
b9,23,5058.82335
b9,24,4365.83385
b10,1,5094.683685000002
b10,2,4853.361240000001
b10,3,4622.248800000001
b10,4,4545.21132
b10,5,4545.21132
b10,6,4622.248800000001
b10,7,5626.964070000002
b10,8,5837.620230000001
b10,9,6192.433975000003
b10,10,6516.4132800000025
b10,11,6451.997760000002
b10,12,6384.78945
b10,13,6384.78945
b10,14,6384.78945
b10,15,6250.372830000001
b10,16,6250.372830000001
b10,17,6217.348995000001
b10,18,6280.150500000001
b10,19,6280.150500000001
b10,20,6028.944480000002
b10,21,5714.936955000001
b10,22,5578.28973
b10,23,4955.189265000001
b10,24,4276.396215000002
b13,1,6073.168769999999
b13,2,5795.986454999999
b13,3,5519.9870999999985
b13,4,5427.987314999999
b13,5,5427.987314999999
b13,6,5519.9870999999985
b13,7,6707.67894
b13,8,6841.64916
b13,9,7257.488331578947
b13,10,7637.189760000001
b13,11,7549.65072
b13,12,7471.008524999999
b13,13,7471.008524999999
b13,14,7471.008524999999
b13,15,7313.7241349999995
b13,16,7313.7241349999995
b13,17,7192.692539999999
b13,18,7265.345999999999
b13,19,7265.345999999999
b13,20,6974.73216
b13,21,6611.464859999999
b13,22,6527.302185
b13,23,5807.446379999999
b13,24,5011.90578
b14,1,3835.5668220000002
b14,2,3669.093288
b14,3,3494.3745599999997
b14,4,3436.1349840000003
b14,5,3436.1349840000003
b14,6,3494.3745599999997
b14,7,4236.297684
b14,8,4225.039476
b14,9,4481.839682280702
b14,10,4716.323136
b14,11,4652.237952
b14,12,4603.777139999999
b14,13,4603.777139999999
b14,14,4603.777139999999
b14,15,4506.8555160000005
b14,16,4506.8555160000005
b14,17,4363.583994
b14,18,4407.660599999999
b14,19,4407.660599999999
b14,20,4231.354176
b14,21,4010.971145999999
b14,22,4022.2473959999993
b14,23,3586.370718
b14,24,3095.087058
b15,1,5289.6579059999995
b15,2,5076.009099
b15,3,4834.294379999999
b15,4,4753.722807
b15,5,4753.722807
b15,6,4834.294379999999
b15,7,5842.3087319999995
b15,8,5648.795447999999
b15,9,5992.132319649121
b15,10,6305.632127999999
b15,11,6200.915615999999
b15,12,6136.322744999998
b15,13,6136.322744999998
b15,14,6136.322744999998
b15,15,6007.137003
b15,16,6007.137003
b15,17,5685.469811999999
b15,18,5742.898799999999
b15,19,5742.898799999999
b15,20,5513.1828479999995
b15,21,5226.037907999999
b15,22,5361.208292999999
b15,23,4794.907764
b15,24,4138.071083999999
b16,1,1363.3428
b16,2,1314.1737
b16,3,1251.5939999999998
b16,4,1230.7341
b16,5,1230.7341
b16,6,1251.5939999999998
b16,7,1505.7815999999998
b16,8,1390.0523999999998
b16,9,1474.540543859649
b16,10,1551.6863999999998
b16,11,1518.6527999999998
b16,12,1502.8334999999997
b16,13,1502.8334999999997
b16,14,1502.8334999999997
b16,15,1471.1948999999997
b16,16,1471.1948999999997
b16,17,1342.3805999999997
b16,18,1355.9399999999998
b16,19,1355.9399999999998
b16,20,1301.7024
b16,21,1233.9053999999999
b16,22,1313.0018999999998
b16,23,1179.9281999999998
b16,24,1018.2942
b18,1,3554.3430989999997
b18,2,3449.4510960000002
b18,3,3285.19152
b18,4,3230.4383279999997
b18,5,3230.4383279999997
b18,6,3285.19152
b18,7,3925.6923779999997
b18,8,3363.7908419999994
b18,9,3568.243886052631
b18,10,3754.929312
b18,11,3644.927424
b18,12,3606.959429999999
b18,13,3606.959429999999
b18,14,3606.959429999999
b18,15,3531.0234419999997
b18,16,3531.0234419999997
b18,17,3013.8101729999994
b18,18,3044.2526999999995
b18,19,3044.2526999999995
b18,20,2922.482592
b18,21,2770.269956999999
b18,22,3151.3435019999997
b18,23,2855.310831
b18,24,2464.172361
b19,1,1407.5081279999997
b19,2,1381.8041369999999
b19,3,1316.0039400000003
b19,4,1294.070541
b19,5,1294.070541
b19,6,1316.0039400000003
b19,7,1554.561216
b19,8,1155.2151239999996
b19,9,1225.42973
b19,10,1289.5424639999999
b19,11,1229.7516479999997
b19,12,1216.9417349999999
b19,13,1216.9417349999999
b19,14,1216.9417349999999
b19,15,1191.3219089999998
b19,16,1191.3219089999998
b19,17,863.2299059999998
b19,18,871.9494
b19,19,871.9494
b19,20,837.0714239999999
b19,21,793.4739539999997
b19,22,1063.2227789999997
b19,23,980.589582
b19,24,846.2622419999999
b20,1,582.22464
b20,2,588.71232
b20,3,560.6784
b20,4,551.33376
b20,5,551.33376
b20,6,560.6784
b20,7,643.05408
b20,8,286.64832
b20,9,304.0709614035088
b20,10,319.9795200000001
b20,11,277.696512
b20,12,274.80384
b20,13,274.80384
b20,14,274.80384
b20,15,269.01849599999997
b20,16,269.01849599999997
b20,17,0.0
b20,18,0.0
b20,19,0.0
b20,20,0.0
b20,21,0.0
b20,22,240.09177599999998
b20,23,243.31776000000008
b20,24,209.98656000000005
b21,1,0.0
b21,2,0.0
b21,3,0.0
b21,4,0.0
b21,5,0.0
b21,6,0.0
b21,7,0.0
b21,8,0.0
b21,9,0.0
b21,10,0.0
b21,11,0.0
b21,12,0.0
b21,13,0.0
b21,14,0.0
b21,15,0.0
b21,16,0.0
b21,17,0.0
b21,18,0.0
b21,19,0.0
b21,20,0.0
b21,21,0.0
b21,22,0.0
b21,23,0.0
b21,24,0.0
